
INSERT INTO jugador VALUES(10000, 'Mario', 'Argul', 'Acosta', TO_DATE('1983-8-2', 'YYYY-MM-DD'),1, 'PORTERO','0');
INSERT INTO jugador VALUES(10001, 'Trevor', 'Intoini', 'Monnet', TO_DATE('1983-3-4', 'YYYY-MM-DD'),2, 'DEFENSA','0');
INSERT INTO jugador VALUES(10002, 'Evan', 'San martin', 'Bello', TO_DATE('1994-8-17', 'YYYY-MM-DD'),3, 'DEFENSA','0');
INSERT INTO jugador VALUES(10003, 'Elroy', 'Torre', 'Etchebarne', TO_DATE('1987-5-2', 'YYYY-MM-DD'),4, 'DEFENSA','0');
INSERT INTO jugador VALUES(10004, 'Víctor', 'Gutierrez', 'Santos', TO_DATE('1989-6-19', 'YYYY-MM-DD'),5, 'DEFENSA','0');
INSERT INTO jugador VALUES(10005, 'Julio', 'Medina', 'Pena', TO_DATE('1995-4-16', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','0');
INSERT INTO jugador VALUES(10006, 'Mirt', 'Calvo', 'Britos', TO_DATE('1991-5-1', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','0');
INSERT INTO jugador VALUES(10007, 'Areu', 'Rossari', 'Saibene', TO_DATE('1993-10-10', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','0');
INSERT INTO jugador VALUES(10008, 'Sebastián', 'Arigon', 'Madera', TO_DATE('1984-3-4', 'YYYY-MM-DD'),9, 'DELANTERO','0');
INSERT INTO jugador VALUES(10009, 'Guim', 'Marturet', 'Moroy', TO_DATE('1996-12-28', 'YYYY-MM-DD'),10, 'DELANTERO','0');
INSERT INTO jugador VALUES(10010, 'Mateo', 'Acosta', 'Mangano', TO_DATE('1990-9-14', 'YYYY-MM-DD'),11, 'DELANTERO','0');
INSERT INTO jugador VALUES(10011, 'Sean', 'Grinschtein', 'Serra', TO_DATE('1986-1-1', 'YYYY-MM-DD'),12, 'DEFENSA','0');
INSERT INTO jugador VALUES(10012, 'Carlos', 'Borges', 'Aguilar', TO_DATE('1995-6-21', 'YYYY-MM-DD'),13, 'DELANTERO','0');
INSERT INTO jugador VALUES(10013, 'Eros', 'Esqueff', 'Lestegas', TO_DATE('1993-11-9', 'YYYY-MM-DD'),14, 'MEDIOCAMPISTA','0');
INSERT INTO jugador VALUES(10014, 'Saúl', 'Penino', 'Aguero', TO_DATE('1985-12-15', 'YYYY-MM-DD'),15, 'PORTERO','0');
INSERT INTO jugador VALUES(10015, 'Lucas', 'Lozano', 'Colotta', TO_DATE('1987-5-12', 'YYYY-MM-DD'),16, 'DEFENSA','0');
INSERT INTO jugador VALUES(10016, 'Trevor', 'Astesiano', 'Chiarla', TO_DATE('1991-4-2', 'YYYY-MM-DD'),17, 'MEDIOCAMPISTA','0');
INSERT INTO jugador VALUES(10017, 'Eric', 'Texeira', 'Lema', TO_DATE('1988-7-25', 'YYYY-MM-DD'),18, 'DEFENSA','0');
INSERT INTO jugador VALUES(10018, 'Habacuc', 'Mauvezin', 'Rodriguez', TO_DATE('1996-9-5', 'YYYY-MM-DD'),19, 'MEDIOCAMPISTA','0');
INSERT INTO jugador VALUES(10019, 'Arturo', 'Schiavo', 'Stercken', TO_DATE('1986-8-7', 'YYYY-MM-DD'),20, 'PORTERO','0');
INSERT INTO jugador VALUES(10020, 'Gabriel', 'Fernandez', 'Telechea', TO_DATE('1989-4-26', 'YYYY-MM-DD'),21, 'DEFENSA','0');
INSERT INTO jugador VALUES(10021, 'Guido', 'Buschiazzo', 'Ruffini', TO_DATE('1990-5-6', 'YYYY-MM-DD'),22, 'MEDIOCAMPISTA','0');
INSERT INTO jugador VALUES(10022, 'Guido', 'Lecchini', 'Garrido', TO_DATE('1992-10-26', 'YYYY-MM-DD'),23, 'DELANTERO','0');
INSERT INTO jugador VALUES(10023, 'Milos', 'Carballo', 'Falco', TO_DATE('1988-1-10', 'YYYY-MM-DD'),1, 'PORTERO','1');
INSERT INTO jugador VALUES(10024, 'Bastian', 'Pelletti', 'Rodriguez', TO_DATE('1990-6-23', 'YYYY-MM-DD'),2, 'DEFENSA','1');
INSERT INTO jugador VALUES(10025, 'Alonso', 'Anzola', 'Suarez', TO_DATE('1988-11-9', 'YYYY-MM-DD'),3, 'DEFENSA','1');
INSERT INTO jugador VALUES(10026, 'Sam', 'Da silva', 'Medina', TO_DATE('1992-8-1', 'YYYY-MM-DD'),4, 'DEFENSA','1');
INSERT INTO jugador VALUES(10027, 'Eloy', 'Barreneche', 'Perpignani', TO_DATE('1988-7-11', 'YYYY-MM-DD'),5, 'DEFENSA','1');
INSERT INTO jugador VALUES(10028, 'Darwin', 'Carrau', 'Brusco', TO_DATE('1993-3-15', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','1');
INSERT INTO jugador VALUES(10029, 'Uriel', 'Pose', 'Peregalli', TO_DATE('1990-4-21', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','1');
INSERT INTO jugador VALUES(10030, 'Elián', 'Hernandez', 'Perez', TO_DATE('1993-3-21', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','1');
